Area Code,State,Number of Records
203,Connecticut,1
206,Washington,1
209,California,1
210,Texas,1
212,New York,1
213,California,1
214,Texas,1
216,Ohio,1
217,Illinois,1
224,Illinois,1
225,Louisiana,1
234,Ohio,1
239,Florida,1
253,Washington,1
254,Texas,1
262,Wisconsin,1
281,Texas,1
303,Colorado,1
305,Florida,1
309,Illinois,1
310,California,1
312,Illinois,1
314,Missouri,1
315,New York,1
318,Louisiana,1
319,Iowa,1
321,Florida,1
323,California,1
325,Texas,1
330,Ohio,1
337,Louisiana,1
339,Massachusetts,1
347,New York,1
351,Massachusetts,1
352,Florida,1
360,Washington,1
361,Texas,1
386,Florida,1
405,Oklahoma,1
407,Florida,1
408,California,1
409,Texas,1
413,Massachusetts,1
414,Wisconsin,1
415,California,1
417,Missouri,1
419,Ohio,1
425,Washington,1
430,Texas,1
432,Texas,1
435,Utah,1
440,Ohio,1
469,Texas,1
475,Connecticut,1
503,Oregon,1
504,Louisiana,1
505,New Mexico,1
508,Massachusetts,1
509,Washington,1
510,California,1
512,Texas,1
513,Ohio,1
515,Iowa,1
516,New York,1
518,New York,1
530,California,1
541,Oregon,1
559,California,1
561,Florida,1
562,California,1
563,Iowa,1
567,Ohio,1
573,Missouri,1
580,Oklahoma,1
585,New York,1
603,New Hampshire,1
607,New York,1
608,Wisconsin,1
614,Ohio,1
617,Massachusetts,1
618,Illinois,1
619,California,1
626,California,1
630,Illinois,1
631,New York,1
636,Missouri,1
641,Iowa,1
646,New York,1
650,California,1
660,Missouri,1
661,California,1
682,Texas,1
702,Nevada,1
707,California,1
708,Illinois,1
712,Iowa,1
713,Texas,1
714,California,1
715,Wisconsin,1
716,New York,1
718,New York,1
719,Colorado,1
720,Colorado,1
727,Florida,1
740,Ohio,1
754,Florida,1
760,California,1
772,Florida,1
773,Illinois,1
774,Massachusetts,1
775,Nevada,1
781,Massachusetts,1
786,Florida,1
801,Utah,1
805,California,1
806,Texas,1
813,Florida,1
815,Illinois,1
816,Missouri,1
817,Texas,1
818,California,1
830,Texas,1
831,California,1
832,Texas,1
845,New York,1
847,Illinois,1
850,Florida,1
857,Massachusetts,1
858,California,1
860,Connecticut,1
863,Florida,1
903,Texas,1
904,Florida,1
909,California,1
914,New York,1
915,Texas,1
916,California,1
917,New York,1
918,Oklahoma,1
920,Wisconsin,1
925,California,1
936,Texas,1
937,Ohio,1
940,Texas,1
941,Florida,1
949,California,1
951,California,1
954,Florida,1
956,Texas,1
959,Connecticut,1
970,Colorado,1
971,Oregon,1
972,Texas,1
978,Massachusetts,1
979,Texas,1
985,Louisiana,1
